name code cost share bottom
shujug 603881 40 0 35
yilite 600197 20 0 17.45
zhongwen 600373 19.263 100 11.3
qingang 601326 5.259 8200 3.65
shibao 002703 6.48 11100 4.21
yaxing 601890 6.336 3700 4.12
xujiahui 002561 10.713 3300 8.58
sanqi 002555 15.887 3700 10.61
xinmao 000836 4.752 6700 3.95
beirui 000710 48.123 400 37.15
