name code cost share bottom
huiwei 002888 18.433 400 18.2
taiyong 002927 38.25 500 32.192
yapu 603013 28.167 600 25
dongfang 002889 35.39 200 32.61
hongchuan 002930 40.15 200 37.66
junda 002865 19.14 0 17.21
beirui 000710 46.656 200 37.15
ruize 002596 9.42 0 7.41
yushun 002289 8.45 0 8.22
yaxia 002607 9.816 1800 9.52
