122,600267,海正药业,化学制药,浙江,2291.22
123,600257,大湖股份,渔业,湖南,431.98
124,600242,中昌数据,软件服务,广东,66.05
125,600239,云南城投,区域地产,云南,0.0
126,600227,赤天化,农药化肥,贵州,0.0
127,600209,罗顿发展,综合类,海南,0.0
128,600208,新湖中宝,全国地产,浙江,18.97
129,600170,上海建工,建筑施工,上海,13.68
130,600161,天坛生物,生物制药,北京,16.51
131,600084,中葡股份,红黄药酒,新疆,0.0
132,002738,中矿资源,建筑施工,北京,133.87
133,002676,顺威股份,塑料,广东,846.88
134,002575,群兴玩具,文教休闲,广东,0.0
135,002571,*ST德力,玻璃,安徽,106.65
136,002480,新筑股份,机械基件,四川,0.0
137,002470,金正大,农药化肥,山东,23.82
138,002398,建研集团,其他建材,福建,29.71
139,002297,博云新材,矿物制品,湖南,0.0
140,002189,利达光电,元器件,河南,171.23
141,002110,三钢闽光,普钢,福建,6.51
142,002015,霞客环保,化纤,江苏,0.0
143,001696,宗申动力,摩托车,重庆,28.78
144,000995,皇台酒业,白酒,甘肃,0.0
145,000688,建新矿业,铅锌,重庆,26.3
146,000555,神州信息,软件服务,深圳,93.24
147,000526,*ST紫学,文教休闲,福建,41.58
148,000056,皇庭国际,房产服务,深圳,72.33
149,000019,深深宝Ａ,软饮料,深圳,0.0
150,000006,深振业Ａ,区域地产,深圳,29.41
151,000418,小天鹅Ａ,家用电器,江苏,23.97
152,603399,新华龙,小金属,辽宁,67.81
153,600581,八一钢铁,普钢,新疆,10.22
154,601100,恒立液压,工程机械,江苏,42.63
155,002760,凤形股份,机械基件,安徽,0.0
156,000416,民生控股,多元金融,山东,120.15
157,603989,艾华集团,元器件,湖南,40.45
158,002102,冠福股份,化学制药,福建,65.61
159,002360,同德化工,化工原料,山西,38.98
160,601601,中国太保,保险,上海,27.93
161,002742,三圣股份,其他建材,重庆,50.39
162,002385,大北农,饲料,北京,24.07
163,000581,威孚高科,汽车配件,江苏,10.61
164,002157,正邦科技,饲料,江西,26.84
165,002531,天顺风能,电气设备,江苏,26.63
166,601009,南京银行,银行,江苏,7.04
167,600030,中信证券,证券,深圳,21.79
168,002527,新时达,电器仪表,上海,34.51
169,601233,桐昆股份,化纤,浙江,14.96
170,603168,莎普爱思,化学制药,浙江,32.46
171,000661,长春高新,生物制药,吉林,45.03
172,600547,山东黄金,黄金,山东,48.51
173,000813,德展健康,化学制药,新疆,23.8
174,600674,川投能源,水力发电,四川,11.96
175,600031,三一重工,工程机械,湖南,26.84
176,600271,航天信息,电脑设备,北京,26.62
177,600993,马应龙,中成药,湖北,31.29
178,002202,金风科技,电气设备,新疆,18.84
179,603377,东方时尚,汽车服务,北京,55.85
180,603288,海天味业,食品,广东,40.14
181,002714,牧原股份,农业综合,河南,24.08
