code cost share bottom escape
000018 8.019 1300 7.23 6.76
000519 14.646 1300 10.60 10.60
000635 19.619 1600 16.13 14.98
002114 18.63 500 18.92 18.92
002115 10.43 1900 10.68 10.6
002158 59.97 100 14.18 14.17
600831 9.875 2000 9.83 9.40
000678 15.764 100 7.91 7.20
600958 19.167 100 15.28 13.94
601890 39.276 100 8.25 7.88
603113 23.759 900 23.75 22.02
600570 53.179 400 51 51
600984 6.784 1300 6.67 6.60


