,ts_code,trade_date,close,turnover_rate,turnover_rate_f,volume_ratio,pe,pe_ttm,pb,ps,ps_ttm,total_share,float_share,free_share,total_mv,circ_mv,code
290,002631.SZ,20191118,6.98,0.2916,0.8145,0.88,44.982,69.5443,2.694,2.641,2.5773,66904.4,65182.6821,23337.9551,466992.712,454975.1211,002631
291,600058.SH,20191118,7.38,0.1739,0.4645,1.18,,,1.9064,0.1399,0.1296,107191.0711,107191.0711,40130.5789,791070.1047,791070.1047,600058
292,002015.SZ,20191118,5.55,0.4543,0.5788,0.59,1395.5316,17.2605,1.5949,15.9092,0.9427,135246.1312,40070.3825,31449.9716,750616.0282,222390.6229,002015
293,600975.SH,20191118,7.99,2.2223,3.8533,1.02,,,4.9171,2.555,2.2587,65267.5584,65267.5584,37640.5279,521487.7916,521487.7916,600975
294,000710.SZ,20191118,36.71,2.2592,2.5851,0.93,48.5564,38.0086,5.9442,9.0413,8.2087,35460.5865,23074.2749,20164.9531,1301758.1304,847056.6316,000710
295,300147.SZ,20191118,6.69,1.2497,1.989,1.1,78.4077,77.9881,1.2638,1.7671,1.674,66147.6335,66039.9274,41492.9148,442527.6681,441807.1143,300147
296,002753.SZ,20191118,7.61,0.184,0.4083,0.62,10.2815,24.383,1.6916,1.1044,1.0062,37543.5652,20043.9767,9033.0541,285706.5312,152534.6627,002753
297,600585.SH,20191118,43.64,0.4375,0.845,1.2,7.7567,7.0263,1.8123,1.8011,1.4331,529930.2579,399970.2579,207083.2565,23126156.4548,17454702.0548,600585
298,300451.SZ,20191118,17.33,2.6965,3.5326,1.03,59.3653,44.1592,5.0652,9.7853,8.8114,72855.61,54595.815,41673.3318,1262587.7213,946145.474,300451
299,002364.SZ,20191118,12.56,0.8142,1.3738,0.61,92.3779,141.63,3.337,7.1929,6.8988,56356.496,51524.3737,30535.09,707837.5898,647146.1337,002364
300,300747.SZ,20191118,95.24,1.3253,1.794,1.15,42.2775,52.4986,8.1255,12.5074,10.1859,19200.0,9840.8137,7269.9699,1828608.0,937239.0968,300747
301,002501.SZ,20191118,1.43,0.9429,1.1332,0.64,,,0.6274,3.6354,7.6378,121483.558,113507.9586,94445.4552,173721.4879,162316.3808,002501
302,002152.SZ,20191118,8.26,1.4321,3.0777,0.66,29.6858,27.3717,2.2295,3.6451,3.1711,240899.3951,239336.0487,111365.8833,1989829.0035,1976915.7623,002152
303,603260.SH,20191118,28.63,0.826,2.2251,2.22,9.5733,18.912,3.2546,2.4245,2.9258,93800.0,36517.8527,13555.9801,2685494.0,1045506.1228,603260
304,601339.SH,20191118,3.88,0.6331,2.4608,0.42,13.3021,21.6478,0.7267,0.9703,0.9686,150000.0,150000.0,38591.3228,582000.0,582000.0,601339
305,002638.SZ,20191118,3.05,1.421,1.9211,0.66,,,1.1767,3.5696,3.9467,151868.5574,97936.9882,72440.4512,463199.1001,298707.814,002638
306,002081.SZ,20191118,7.52,0.4416,0.8809,0.71,9.4784,8.7915,1.3855,0.8022,0.6871,267640.8689,258231.4967,129446.7373,2012659.3341,1941900.8552,002081
307,300423.SZ,20191118,12.4,0.7943,0.9875,1.05,13.7423,11.23,1.8752,2.0426,1.6781,49930.819,25165.6005,20240.9074,619142.1556,312053.4462,300423
308,002452.SZ,20191118,4.49,0.8062,0.9625,1.36,,,1.9717,2.2567,1.9214,52940.0,44115.1254,36953.509,237700.6,198076.913,002452
309,002044.SZ,20191118,16.01,0.7956,1.1395,1.0,76.4736,78.6378,7.3954,7.4196,7.0378,391992.0974,339130.705,236765.6614,6275793.4794,5429482.5871,002044
310,000151.SZ,20191118,9.75,0.8162,1.3561,0.67,34.5932,145.3345,3.0465,2.271,2.7532,29598.0,26654.3967,16042.0467,288580.5,259880.3678,000151
311,002428.SZ,20191118,6.94,1.2208,1.5313,0.52,525.7858,,3.0675,9.7467,9.4747,65312.0,64431.3818,51365.5418,453265.28,447153.7897,002428
312,000756.SZ,20191118,7.04,0.6063,1.2715,0.87,17.4534,14.785,1.5131,0.8406,0.7752,62185.9447,39949.5077,19048.7817,437789.0507,281244.5342,000756
313,603829.SH,20191118,9.57,0.4872,0.8819,0.59,25.4441,30.4809,2.3228,2.7337,2.6092,16000.0,7240.0,4000.0,153120.0,69286.8,603829
