code cost share bottom escape
sh 3200 0 3200 3200
000635 23.334 900 17.33 16.13
601890 8.529 2200 8.25 7.88
600958 16.232 1900 15.25 13.94
002158 15.895 1700 14.28 10.55
000519 11.004 3300 10.60 10.60
600126 7.323 2500 6.88 6.33
000018 7.974 1300 7.23 6.76
000678 8.637 1500 7.91 7.20
600984 7.254 1400 7.20 6.82
600831 10.035 1000 9.83 9.40
