code cost share
sh 3200 0
000018 7.14 100
000524 12.57 100
000630 3.05 100
000663 12.68 100
000672 10.85 100
000678 8.35 100
000721 7.21 100
000909 12.47 100
000935 23.06 100
000965 7.50 100
002114 21.24 100
002492 8.72 100
002813 30.99 100
600054 16.11 100
600069 8.89 100
600275 5.85 100
600281 6.34 100
600468 6.5 100
600570 42.51 100
600821 8.86 100
600865 10.07 100
600893 29.26 100
600908 11.27 100
600984 7.29 100
601216 5.34 100
603113 23.60 100
603323 10.93 100
