,code,begin,end,status,begin_price,end_price,days,p_change
315,600756,2017-05-11,2017-10-11,up,16.794,23.86,153,42.075
316,600756,2017-10-11,2017-12-05,down,23.86,17.25,55,-27.703
317,600756,2017-12-05,2017-12-11,up,17.25,18.91,6,9.623
318,600756,2017-12-11,2017-12-13,down,18.91,18.01,2,-4.759
319,600756,2017-12-13,2017-12-15,up,18.01,18.45,2,2.443
320,600756,2017-12-15,2017-12-17,down,18.45,18.12,2,-1.789
480,600797,2016-01-04,2016-01-28,down,14.239,7.747,24,-45.593
481,600797,2016-01-28,2016-08-30,up,7.747,19.549,215,152.343
482,600797,2016-08-30,2017-06-02,down,19.549,10.862,276,-44.437
483,600797,2017-06-02,2017-10-12,up,10.862,17.71,132,63.045
484,600797,2017-10-12,2017-12-05,down,17.71,11.42,54,-35.517
485,600797,2017-12-05,2017-12-11,up,11.42,12.79,6,11.996
486,600797,2017-12-11,2017-12-12,down,12.79,12.43,1,-2.815
294,600804,2016-01-04,2016-01-28,down,23.374,15.674,24,-32.943
295,600804,2016-01-28,2016-11-29,up,15.674,24.421,306,55.806
296,600804,2016-11-29,2017-07-18,down,24.421,15.77,231,-35.424
297,600804,2017-07-18,2017-10-16,up,15.77,22.4,90,42.042
298,600804,2017-10-16,2017-12-15,down,22.4,18.48,60,-17.5
299,600804,2017-12-15,2017-12-17,up,18.48,18.62,2,0.758
225,600831,2016-01-04,2016-01-29,down,15.866,9.034,25,-43.061
224,600831,2016-01-29,2016-07-27,up,9.034,16.832,180,86.318
223,600831,2016-07-27,2017-12-06,down,16.832,8.01,497,-52.412
226,600831,2017-12-06,2017-12-11,up,8.01,8.44,5,5.368
227,600831,2017-12-11,2017-12-15,down,8.44,8.23,4,-2.488
228,600831,2017-12-15,2017-12-17,up,8.23,8.28,2,0.608
25,600845,2016-01-04,2017-06-02,down,28.571,14.41,515,-49.564
26,600845,2017-06-02,2017-11-15,up,14.41,19.35,166,34.282
27,600845,2017-11-15,2017-12-06,down,19.35,15.8,21,-18.346
28,600845,2017-12-06,2017-12-11,up,15.8,18.23,5,15.38
29,600845,2017-12-11,2017-12-12,down,18.23,17.16,1,-5.869
30,600845,2017-12-12,2017-12-15,up,17.16,17.92,3,4.429
31,600845,2017-12-15,2017-12-17,down,17.92,17.86,2,-0.335
258,600850,2016-01-04,2017-07-18,down,39.412,19.01,561,-51.766
259,600850,2017-07-18,2017-11-14,up,19.01,24.04,119,26.46
260,600850,2017-11-14,2017-12-06,down,24.04,19.58,22,-18.552
261,600850,2017-12-06,2017-12-11,up,19.58,20.85,5,6.486
262,600850,2017-12-11,2017-12-15,down,20.85,19.98,4,-4.173
263,600850,2017-12-15,2017-12-17,up,19.98,20.16,2,0.901
353,600936,2016-08-15,2016-08-30,up,5.705,19.523,15,242.209
354,600936,2016-08-30,2017-12-06,down,19.523,6.51,463,-66.655
355,600936,2017-12-06,2017-12-11,up,6.51,6.94,5,6.605
356,600936,2017-12-11,2017-12-15,down,6.94,6.79,4,-2.161
357,600936,2017-12-15,2017-12-17,up,6.79,6.8,2,0.147
177,600996,2016-12-26,2017-01-04,up,10.603,21.532,9,103.075
176,600996,2017-01-04,2017-12-06,down,21.532,9.41,336,-56.298
178,600996,2017-12-06,2017-12-11,up,9.41,10.28,5,9.245
179,600996,2017-12-11,2017-12-15,down,10.28,9.71,4,-5.545
