,code,date,p_change
246,002580,2017-08-09,10.0
247,002575,2017-07-12,10.03
248,002507,2017-11-21,10.0
249,002507,2017-07-28,9.99
250,002488,2017-08-22,10.03
251,002464,2017-10-11,10.0
252,002423,2017-08-03,10.0
253,002423,2017-07-18,9.97
254,002263,2017-10-26,10.06
255,002201,2017-11-27,9.99
256,002201,2017-09-06,10.02
257,002201,2017-08-01,9.98
258,002160,2017-09-12,10.04
259,002160,2017-08-07,10.06
260,002160,2017-07-11,10.01
261,002131,2017-10-10,10.16
262,002123,2017-09-28,9.98
263,002037,2017-08-22,10.02
264,000969,2017-09-22,10.01
265,000930,2017-09-14,10.04
266,000916,2017-12-01,10.05
267,000916,2017-10-09,10.03
268,000916,2017-07-12,10.0
269,000916,2017-07-07,10.04
270,000916,2017-07-06,10.0
271,000916,2017-07-05,9.97
272,000916,2017-07-04,9.99
273,000916,2017-07-03,10.06
274,000757,2017-08-24,10.04
275,000688,2017-08-17,10.02
276,000678,2017-10-11,9.96
277,000608,2017-09-15,9.94
278,000547,2017-08-07,9.96
279,000547,2017-08-04,10.05
280,000401,2017-08-01,10.01
281,000301,2017-10-11,9.97
282,000301,2017-10-10,10.07
283,000301,2017-10-09,10.1
284,000019,2017-07-20,9.97
285,000007,2017-07-21,10.01
286,600702,2017-10-30,10.01
287,002547,2017-11-16,10.05
288,600048,2017-11-29,10.02
289,002726,2017-07-04,9.92
290,600175,2017-10-31,9.96
291,000823,2017-10-20,10.03
292,600525,2017-09-06,10.0
293,600525,2017-08-14,9.99
294,600525,2017-07-14,10.0
295,000835,2017-07-28,9.96
296,002583,2017-11-06,10.0
297,000418,2017-10-25,10.0
298,603801,2017-07-05,10.0
299,603801,2017-07-04,10.01
300,603801,2017-07-03,10.0
301,600984,2017-07-31,10.0
302,601002,2017-10-26,10.05
303,600083,2017-07-20,10.02
304,600083,2017-07-19,9.99
305,600083,2017-07-18,10.0
306,002132,2017-09-04,10.04
307,600148,2017-08-04,9.99
308,600148,2017-07-24,9.99
309,600148,2017-07-18,10.01
310,600148,2017-07-06,10.01
311,002209,2017-08-04,10.0
312,600801,2017-09-14,9.98
313,600801,2017-08-10,10.03
314,603996,2017-10-16,9.98
315,002256,2017-11-08,10.02
316,002714,2017-11-16,10.01
317,002714,2017-08-08,10.0
318,600648,2017-10-20,10.01
319,600103,2017-07-13,10.04
320,600103,2017-07-05,10.02
321,002852,2017-11-21,10.0
322,002852,2017-08-31,10.0
323,600621,2017-11-29,10.02
324,600621,2017-11-21,10.04
325,600621,2017-11-10,10.04
326,600621,2017-08-30,10.0
327,002458,2017-08-08,10.0
328,002458,2017-07-03,10.02
329,000802,2017-08-04,10.03
330,000802,2017-08-01,10.0
331,000802,2017-07-31,10.0
332,603589,2017-11-06,10.0
333,600455,2017-10-24,9.99
334,603585,2017-08-25,10.01
335,000656,2017-09-19,9.94
336,000656,2017-07-06,10.02
337,002761,2017-07-18,10.0
338,002761,2017-07-14,9.99
339,000546,2017-11-27,9.97
340,000546,2017-07-19,10.01
341,002822,2017-10-24,10.03
342,002822,2017-10-23,10.02
343,600335,2017-07-21,10.04
344,600781,2017-11-13,10.01
345,002422,2017-12-01,9.99
346,000931,2017-08-18,10.03
347,603326,2017-08-28,10.02
348,002502,2017-08-01,10.06
